Year,Annual_MinTemp,Winter_MinTemp,Spring_MinTemp,Summer_MinTemp,Autumn_MinTemp,Annual_MeanTemp,Winter_MaxTemp,Spring_MeanTemp,Summer_MeanTemp,Autumn_MeanTemp,Annual_MaxTemp,Spring_MaxTemp,Summer_MaxTemp,Autumn_MaxTemp
1929,-2.6592814371257485,-15.739664804469273,-3.0552486187845305,9.096216216216217,-0.016577540106951883,3.0810975609756097,-5.797191011235955,2.797752808988764,16.003243243243244,5.363978494623656,8.76144578313253,8.569444444444445,22.83494623655914,10.648663101604278
1930,-1.6034883720930233,-16.47872340425532,-2.885340314136126,10.084239130434783,0.3279569892473118,4.090058479532164,-6.5903743315508025,3.187830687830688,16.769565217391303,5.375135135135135,9.735260115606936,9.206842105263158,23.41576086956522,10.451612903225806
1931,-0.5827586206896551,-11.489417989417989,-2.3328125,10.073015873015873,0.7455958549222798,5.0936781609195405,-1.9015873015873015,3.659375,16.658730158730158,6.021761658031088,10.703389830508474,9.643229166666666,23.175392670157066,11.256701030927836
1932,-2.5065934065934066,-14.165968586387434,-3.7668421052631578,9.8055,-0.8165829145728644,3.05,-4.591623036649215,2.046315789473684,16.2145,4.295477386934674,8.60108108108108,7.8375,22.586069651741294,9.392964824120604
1933,-3.0963350785340316,-15.713432835820896,-3.537128712871287,9.489162561576356,-0.9737373737373737,2.5598930481283424,-5.636318407960199,2.1668316831683168,16.372636815920398,3.93030303030303,8.173015873015872,7.831527093596059,23.163366336633665,8.766331658291458
1934,-2.138709677419355,-17.87035175879397,-3.0343283582089553,8.878048780487806,0.7480392156862745,3.5554347826086956,-7.393,3.0969849246231154,15.512195121951219,5.50940594059406,9.15,9.174,22.090731707317072,10.23118811881188
1935,-2.828494623655914,-16.58019801980198,-4.672139303482587,10.002487562189055,-1.4004901960784313,2.7104395604395606,-6.648756218905473,1.0795,16.164,3.948,8.166304347826086,6.818,22.2555,9.199502487562189
1936,-3.0168421052631578,-18.254455445544554,-2.8225490196078433,9.798529411764706,-0.6606796116504855,2.6643243243243244,-9.076237623762376,2.889054726368159,16.474257425742575,4.569306930693069,8.272043010752688,8.522885572139304,23.098029556650246,9.743627450980393
1937,-2.048936170212766,-16.89902912621359,-2.5985507246376813,10.439130434782609,0.5535,3.4672131147540983,-6.52512315270936,3.166990291262136,16.971844660194176,5.366666666666666,8.96951871657754,8.895631067961165,23.465865384615384,10.155223880597015
1938,-1.706217616580311,-16.069565217391304,-2.8879227053140095,10.169585253456221,0.638755980861244,3.902127659574468,-6.533658536585365,2.872549019607843,16.619907407407407,6.034299516908213,9.456632653061224,8.603864734299517,23.01705069124424,11.41953488372093
1939,-2.223762376237624,-15.556279069767442,-4.436697247706422,9.591284403669725,-0.05159817351598174,3.265326633165829,-5.989908256880734,1.5814814814814815,16.051388888888887,4.898148148148148,8.733168316831684,7.610045662100457,22.45299539170507,9.795412844036697
1940,-2.126237623762376,-13.680821917808219,-3.0927272727272728,9.304128440366972,-0.09041095890410959,3.305050505050505,-4.77,2.3949074074074073,15.782407407407407,4.903240740740741,8.676119402985075,7.874885844748858,22.21651376146789,9.838532110091743
1941,-1.5980099502487561,-14.732110091743118,-2.6940909090909093,10.02117117117117,-0.06926605504587159,3.9251256281407034,-5.16651376146789,3.3876712328767122,16.491402714932125,4.72442396313364,9.384729064039409,9.428054298642534,22.896846846846845,9.468493150684932
1942,-1.9645,-14.253603603603604,-2.048611111111111,9.44112554112554,-0.5711711711711712,3.5868020304568526,-4.628181818181818,3.71953488372093,15.745414847161571,4.718468468468468,9.017587939698492,9.459722222222222,22.006926406926407,9.93511111111111
1943,-2.703921568627451,-17.606726457399102,-5.177333333333333,9.17543103448276,0.6899563318777292,2.8994949494949496,-7.655855855855856,0.7542600896860987,15.405194805194805,5.855605381165919,8.479310344827587,6.666371681415929,21.608974358974358,10.986725663716815
1944,-1.803225806451613,-14.305555555555555,-3.8982978723404256,9.586610878661087,0.7944915254237288,3.810798122065728,-4.151724137931034,2.3472103004291847,15.91673640167364,5.7,9.295909090909092,8.460084033613445,22.166666666666668,10.560425531914893
1945,-2.490566037735849,-15.180327868852459,-3.4850622406639005,9.105508474576272,-1.176824034334764,2.9125,-5.569834710743802,2.2596638655462185,15.539574468085107,3.629741379310345,8.176635514018692,7.9191666666666665,21.94375,8.339166666666667
1946,-2.9149321266968324,-16.559832635983263,-2.537394957983193,8.66,-1.3705645161290323,2.8493087557603687,-6.932365145228216,3.445531914893617,15.18530612244898,3.9161943319838057,8.571945701357466,9.397058823529411,21.678048780487806,9.170967741935485
1947,-2.4723502304147464,-16.727459016393443,-4.412550607287449,9.409016393442624,0.2091286307053942,3.09478672985782,-6.634979423868312,1.325,15.747083333333334,5.192016806722689,8.578026905829596,7.005668016194332,21.95679012345679,10.063114754098361
1948,-3.2875,-16.9712,-5.817529880478087,9.468774703557312,0.199601593625498,2.4601809954751133,-6.91,0.11818181818181821,15.768825910931174,5.430452674897119,8.054385964912282,5.98780487804878,21.955555555555556,10.63132530120482
1949,-3.268619246861925,-18.526274509803923,-3.701930501930502,9.313127413127413,-0.28326848249027237,2.484415584415584,-8.426070038910506,2.35921568627451,15.731517509727626,4.856470588235294,8.160504201680672,8.301158301158301,22.050191570881225,9.804980842911878
1950,-4.478969957081545,-19.99529411764706,-5.946153846153846,8.459288537549407,-1.6275193798449612,1.0905405405405406,-9.9,-0.166147859922179,14.835080645161291,3.308730158730159,6.578508771929824,5.5904214559386975,21.1172,8.0996062992126
1951,-3.7316239316239317,-16.72244094488189,-4.496124031007752,8.682745098039216,-1.7448275862068965,1.5137614678899083,-7.278542510121458,1.098406374501992,14.766533864541833,2.9767441860465116,6.8133928571428575,6.620866141732283,20.78203125,7.694573643410853
